cemetery,firstworldwarcasualties,secondworldwarcasualties,totalcasualties,cemeterycountry,locality
's GRAVENZANDE GENERAL CEMETERY,117,3,120,Netherlands,Zuid-Holland
"2ND CANADIAN CEMETERY, SUNKEN ROAD, CONTALMAISON",44,,44,France,Somme
4TH BATTALION PARADE GROUND CEMETERY,116,,116,Turkey (including Gallipoli),
7TH FIELD AMBULANCE CEMETERY,640,,640,Turkey (including Gallipoli),
"A.I.F. BURIAL GROUND, FLERS",3647,,3647,France,Somme
AABENRAA CEMETERY,2,154,156,Denmark,
AACHEN MILITARY CEMETERY,1,,1,Germany,Nordrhein-Westfalen
AALBEKE COMMUNAL CEMETERY,1,,1,Belgium,West-Vlaanderen
AB KETTLEBY (ST. JAMES) CHURCHYARD,1,1,2,United Kingdom,Leicestershire
ABBASIYA INDIAN CEMETERY,75,,75,Egypt,
ABBERLEY (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Worcestershire
ABBERTON (ST. ANDREW) CHURCHYARD,2,1,3,United Kingdom,Essex
ABBEVILLE COMMUNAL CEMETERY,774,30,804,France,Somme
ABBEVILLE COMMUNAL CEMETERY EXTENSION,1754,352,2106,France,Somme
ABBEY DORE (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Herefordshire
ABBEY ST. BATHANS PARISH CHURCHYARD,1,,2,United Kingdom,Berwickshire
ABBEYCWMHIR (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Radnorshire
ABBEYLEIX CATHOLIC CHURCHYARD,1,,1,"Ireland, Republic of",County Leix
ABBEYLEIX NEW CEMETERY,1,2,3,"Ireland, Republic of",County Leix
ABBEYMAHON OLD GRAVEYARD,1,,1,"Ireland, Republic of",County Cork
ABBEYSHRULE GRAVEYARD,1,,1,"Ireland, Republic of",County Longford
ABBOTS BROMLEY (ST. NICHOLAS) CHURCHYARD,2,,2,United Kingdom,Staffordshire
ABBOTS LANGLEY (ST. LAWRENCE) CHURCHYARD,9,4,13,United Kingdom,Hertfordshire
ABBOTS LEIGH (HOLY TRINITY) CHURCHYARD,1,,1,United Kingdom,Somerset
ABBOTSBURY (ST. NICHOLAS) CHURCHYARD,1,,1,United Kingdom,Dorset
ABBOTSFORD (ABERDEEN) CEMETERY,1,,1,Canada,British Columbia
ABBOTSFORD (MUSSELWHITE) CEMETERY,1,,1,Canada,British Columbia
"ABBOTSHALL PARISH CHURCHYARD, KIRKCALDY",15,8,23,United Kingdom,Fifeshire
ABBOTSHAM CHURCHYARD,1,1,2,United Kingdom,Devon
ABBOTSKERSWELL (ST. MARY) CHURCHYARD,4,,4,United Kingdom,Devon
ABBOTTS ANN (ST. MARY) CHURCHYARD,1,1,2,United Kingdom,Hampshire
ABDON (ST. MARGARET) CHURCHYARD,1,,1,United Kingdom,Shropshire
ABEELE AERODROME MILITARY CEMETERY,104,,104,Belgium,West-Vlaanderen
ABER (ST. BODFAN) CHURCHYARD,1,,1,United Kingdom,Caernarvonshire
ABERAVON (ST. JOSEPH) ROMAN CATHOLIC CHURCHYARD,3,,3,United Kingdom,Glamorganshire
ABERAVON (ST. MARY) CHURCH CEMETERY,9,5,14,United Kingdom,Glamorganshire
ABERAVON (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Glamorganshire
